car_name,fuel_type,transmission_type,reviews_count,engine_displacement,no_cylinder,seating_capacity,fuel_tank_capacity,price,horse_power
Strom Motors R3,Electric,Electric,2,0,0,2,0,21600000,20.11
Lexus LC 500h,Petrol,Automatic,1,3456,6,4,82,22500000,295.02
Maserati GranTurismo,Petrol,Automatic,3,4691,8,4,86,40200000,460
Ferrari F8 Tributo,Petrol,Automatic,6,3902,8,2,78,8580000,710.74
Mercedes-Benz GLE,Diesel,Automatic,2,2925,6,5,93,14400000,325.8
BMW M4 Competition,Petrol,Automatic,11,2993,6,5,0,16200000,502.88
BMW 8 Series,Petrol,Automatic,3,4395,8,4,68,4200000,600
Mini Cooper Countryman,Petrol,Automatic,13,1998,4,5,51,4200000,189.08
Mercedes-Benz A-Class Limousine,Diesel,Automatic,3,1950,4,5,66,13700000,147.51
Maserati GranCabrio,Diesel,Automatic,2,4691,8,4,75,15900000,460
Mercedes-Benz AMG GLE 53,Petrol,Automatic,1,2999,6,5,85,30000000,435
Aston Martin Vantage,Petrol,Manual,3,3998,8,2,73,9950000,502.88
Mercedes-Benz EQC,Electric,Automatic,1,0,0,5,0,8247000,402.3
Mercedes-Benz AMG C 43,Petrol,Automatic,1,2996,6,5,0,11100000,384.87
Lexus RX,Petrol,Automatic,5,3456,6,5,65,726000,258.81
Hyundai Xcent Prime,CNG,Manual,8,1197,4,5,65,12000000,65.39
Jaguar I-Pace,Electric,Electric,6,0,0,5,0,70600000,394.26
Rolls Royce Dawn,Petrol,Automatic,2,6598,12,4,0,20800000,563
BMW X5 M,Petrol,Automatic,30,4395,8,5,83,32100000,616.87
Lamborghini Huracan EVO,Petrol,Automatic,5,5204,10,2,80,4000000,630.28
Mini Cooper 3 DOOR,Petrol,Automatic,15,1998,4,4,44,8470000,189.08
Mercedes-Benz CLS,Diesel,Automatic,60,1950,4,5,66,885000,241.3
Mahindra Bolero PikUp ExtraLong,Diesel,Manual,5,2523,4,2,60,23300000,75.09
Lexus LX,Petrol,Automatic,1,5663,8,8,93,8700000,362
Mercedes-Benz AMG GLC 43,Petrol,Automatic,9,2996,6,5,0,927000,384.87
Mahindra Bolero Camper,Diesel,Manual,88,2523,4,5,57,2999000,75.09
Tata Nexon EV Max,Electric,Electric,1,0,0,5,0,463000,141.04
Mahindra Bolero Neo,Diesel,Manual,97,1493,3,7,50,903000,100
Mahindra Bolero Neo,Diesel,Manual,1,1493,3,7,50,13500000,100
Audi e-tron GT,Electric,Electric,1,0,0,5,0,5800000,522.99
Maruti Swift Dzire Tour,CNG,Manual,1,1197,4,5,55,13500000,70.4
Mercedes-Benz AMG A 35,Petrol,Automatic,21,1991,4,5,51,1989000,301.73
Mercedes-Benz GLC Coupe,Diesel,Automatic,5,1950,4,5,66,3132000,241.38
Toyota Glanza,Petrol,Automatic,23,1197,4,5,37,2990000,88.5
Toyota Glanza,Petrol,Automatic,3,1197,4,5,37,5590000,88.5
Porsche Cayenne Coupe,Petrol,Automatic,1,3996,8,4,0,18900000,631.62
Porsche Cayenne Coupe,Petrol,Automatic,6,3996,8,4,0,391000,631.62
Honda City Hybrid,Petrol,Automatic,1,1498,4,5,40,8150000,96.55
Compass Trailhawk,Diesel,Automatic,1,1998,4,5,60,5450000,170
Jeep Meridian,Diesel,Automatic,78,1956,4,7,60,1615000,167.67
Mercedes-Benz AMG A 45 S,Petrol,Automatic,35,1991,4,5,0,659000,415.71
BMW 3 Series Gran Limousine,Petrol,Automatic,3,1998,4,5,59,1041000,254.79
MG Hector Plus,Diesel,Manual,2,1956,4,7,60,1615000,167.67
Audi RS Q8,Petrol,Automatic,9,3998,8,5,85,21700000,591.39
Maruti Alto 800 tour,Petrol,Manual,4,796,3,5,35,391000,47.33
